timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778658248.357264,599617210942863806,2664,-1017.0,-8.0,-50.0,1018.26
1778658248.397264,599617210982863806,2664,-1013.0,-8.0,-51.0,1014.31
1778658248.437263,599617211022863806,2664,-1016.0,-8.0,-53.0,1017.41
1778658248.477263,599617211062863806,2664,-1019.0,-7.0,-50.0,1020.25
1778658248.517264,599617211102863806,2664,-1016.0,-14.0,-41.0,1016.92
1778658248.557264,599617211142863806,2664,-1017.0,-7.0,-38.0,1017.73
1778658248.597264,599617211182863806,2664,-1017.0,-9.0,-37.0,1017.71
1778658248.637264,599617211222863806,2664,-1017.0,-6.0,-34.0,1017.59
1778658248.677263,599617211262863806,2664,-1020.0,-6.0,-42.0,1020.88
1778658248.717263,599617211302863806,2664,-1019.0,-8.0,-45.0,1020.02
1778658248.757264,599617211342863806,2664,-1017.0,-9.0,-49.0,1018.22
1778658248.797264,599617211382863806,2664,-1017.0,-6.0,-42.0,1017.88
1778658248.837264,599617211422863806,2664,-1016.0,-4.0,-47.0,1017.09
1778658248.877264,599617211462863806,2664,-1016.0,-3.0,-51.0,1017.28
1778658248.917264,599617211502863806,2664,-1017.0,-4.0,-47.0,1018.09
1778658248.957263,599617211542863806,2664,-1016.0,-7.0,-48.0,1017.16
1778658248.997264,599617211582863806,2664,-1017.0,-12.0,-40.0,1017.86
1778658249.037264,599617211622863806,2664,-1017.0,-11.0,-40.0,1017.85
1778658249.077264,599617211662863806,2664,-1017.0,-6.0,-44.0,1017.97
1778658249.117264,599617211702863806,2664,-1017.0,-5.0,-46.0,1018.05
1778658249.157585,599617211723171520,2700,-1017.0,-8.0,-45.0,1018.03
1778658249.197585,599617211763171520,2700,-1017.0,-5.0,-49.0,1018.19
1778658249.237585,599617211803171520,2700,-1016.0,-3.0,-47.0,1017.09
1778658249.277585,599617211843171520,2700,-1018.0,-6.0,-47.0,1019.1
1778658249.317585,599617211883171520,2700,-1017.0,-9.0,-48.0,1018.17
1778658249.357585,599617211923171520,2700,-1017.0,-2.0,-49.0,1018.18
1778658249.397585,599617211963171520,2700,-1017.0,-5.0,-58.0,1018.66
1778658249.437585,599617212003171520,2700,-1016.0,-7.0,-51.0,1017.3
1778658249.477585,599617212043171520,2700,-1019.0,-3.0,-45.0,1020.0
1778658249.517585,599617212083171520,2700,-1017.0,-3.0,-45.0,1018.0
1778658249.557585,599617212123171520,2700,-1016.0,-6.0,-48.0,1017.15
